k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_enable
30,0.03,3.1707444396832734,0.16413124041866758,75.04077026849706,-0.4709308049703873,75.04224795615082,3.2782117575270697,0.0,85.81631927445677,0.0,-342.0430933856161,-0.10746731784379637,0.16413124041866758,-10.775549005959718,-0.4709308049703873,10.785834793974434,3.1707444396832734,0.16413124041866758,75.04077026849706,-0.4709308049703873,0.0,0.0,0.0,0.0,1,1,1,0
31,0.031,3.2447854633996775,0.16357178390555432,73.05856133219456,-0.6864362908735933,73.06178603559772,3.363857055254834,0.0,85.47427618107116,0.0,-338.31569906023356,-0.11907159185515637,0.16357178390555432,-12.415714848876604,-0.6864362908735933,12.434676111183729,3.2447854633996775,0.16357178390555432,73.05856133219456,-0.6864362908735933,0.0,0.0,0.0,0.0,1,1,1,0
32,0.032,3.316912476774462,0.1626792057128975,71.22911073260299,-1.138984607573934,71.2382165813667,3.449162173586375,0.0,85.13596048201093,0.0,-333.4473297313114,-0.1322496968119129,0.1626792057128975,-13.90684974940794,-1.138984607573934,13.953413771865938,3.316912476774462,0.1626792057128975,71.22911073260299,-1.138984607573934,0.0,0.0,0.0,0.0,1,1,1,0
33,0.033,3.3873271155784126,0.16121330456569208,69.64977781094538,-1.8325876393205611,69.67388267184376,3.5341314104035204,0.0,84.80251315227962,0.0,-327.3828070620617,-0.14680429482510782,0.16121330456569208,-15.152735341334235,-1.8325876393205611,15.263150584997517,3.3873271155784126,0.16121330456569208,69.64977781094538,-1.8325876393205611,0.0,0.0,0.0,0.0,1,1,1,0
34,0.034,3.456326231177017,0.158936909125356,68.4126730992288,-2.7570698444299895,68.46820630562048,3.618770232152269,0.0,84.47513034521755,0.0,-320.1117186338946,-0.16244400097525213,0.158936909125356,-16.062457245988753,-2.7570698444299895,16.29736073437297,3.456326231177017,0.158936909125356,68.4126730992288,-2.7570698444299895,0.0,0.0,0.0,0.0,1,1,1,0
35,0.035,3.5242937529402525,0.1556302585692098,67.59888666647105,-3.8878019770695555,67.71059357854797,3.7030853066381697,0.0,84.15501862658365,0.0,-311.67300931741863,-0.17879155369791722,0.1556302585692098,-16.55613196011261,-3.8878019770695555,17.00648434255499,3.5242937529402525,0.1556302585692098,67.59888666647105,-3.8878019770695555,0.0,0.0,0.0,0.0,1,1,1,0
36,0.036000000000000004,3.5916868510729167,0.15110528185982025,67.27291526819295,-5.186176366212207,67.47252443760294,3.7870844887600947,0.0,83.84334561726624,0.0,-302.15711704820876,-0.195397637687178,0.15110528185982025,-16.57043034907329,-5.186176366212207,17.36305235996676,3.5916868510729167,0.15110528185982025,67.27291526819295,-5.186176366212207,0.0,0.0,0.0,0.0,1,1,1,0
37,0.037,3.6590167632587396,0.14521902077924578,67.47761749845553,-6.600844612919086,67.79970510903256,3.870776755818837,0.0,83.54118850021803,0.0,-291.7053759595093,-0.21175999256009748,0.14521902077924578,-16.063571001762497,-6.600844612919086,17.36690712051423,3.6590167632587396,0.14521902077924578,67.47761749845553,-6.600844612919086,0.0,0.0,0.0,0.0,1,1,1,0
38,0.038,3.7268249746962114,0.13788543899123848,68.23001702315374,-8.069702096388946,68.7055697516898,3.9541720916310754,0.0,83.24948312425852,0.0,-280.50655189413703,-0.22734711693486398,0.13788543899123848,-15.019466101104783,-8.069702096388946,17.05005729863392,3.7268249746962114,0.13788543899123848,68.23001702315374,-8.069702096388946,0.0,0.0,0.0,0.0,1,1,1,0
39,0.039,3.795655748850892,0.12908489389377484,69.51824620946812,-9.522565809298815,70.16741277567996,4.037281321479387,0.0,82.96897657236438,0.0,-268.79053286073565,-0.24162557262849527,0.12908489389377484,-13.450730362896266,-9.522565809298815,16.480333943454127,3.795655748850892,0.12908489389377484,69.51824620946812,-9.522565809298815,0.0,0.0,0.0,0.0,1,1,1,0
