k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_command,laser_on
61,0.061,4.88,0.0,80.0,0.0,80.0,4.655618172684574,0.0,73.44452559174802,0.0,-72.23690498966502,0.2243818273154261,0.0,6.555474408251982,0.0,6.555474408251982,4.88,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
62,0.062,4.96,0.0,80.0,0.0,80.0,4.729026579823827,0.0,73.37228868675835,0.0,-71.40325634996343,0.23097342017617262,0.0,6.627711313241647,0.0,6.627711313241647,4.96,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
63,0.063,5.04,0.0,80.0,0.0,80.0,4.802363166882411,0.0,73.30088543040839,0.0,-70.58116134452202,0.23763683311758932,0.0,6.6991145695916146,0.0,6.6991145695916146,5.04,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
64,0.064,5.12,0.0,80.0,0.0,80.0,4.875628761732147,0.0,73.23030426906386,0.0,-69.7703985465049,0.24437123826785268,0.0,6.769695730936135,0.0,6.769695730936135,5.12,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
65,0.065,5.2,0.0,80.0,0.0,80.0,4.948824180801938,0.0,73.16053387051736,0.0,-68.97074733321915,0.2511758191980622,0.0,6.839466129482645,0.0,6.839466129482645,5.2,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
66,0.066,5.28,0.0,80.0,0.0,80.0,5.021950229298788,0.0,73.09156312318413,0.0,-68.18198783414323,0.25804977070121193,0.0,6.90843687681587,0.0,6.90843687681587,5.28,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
67,0.067,5.36,0.0,80.0,0.0,80.0,5.095007701428056,0.0,73.02338113535,0.0,-67.40390087560829,0.2649922985719444,0.0,6.976618864650007,0.0,6.976618864650007,5.36,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
68,0.068,5.44,0.0,80.0,0.0,80.0,5.167997380612968,0.0,72.95597723447439,0.0,-66.63626792062298,0.27200261938703196,0.0,7.044022765525611,0.0,7.044022765525611,5.44,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
69,0.069,5.52,0.0,80.0,0.0,80.0,5.240920039713482,0.0,72.88934096655376,0.0,-65.8788710016591,0.27907996028651727,0.0,7.11065903344624,0.0,7.11065903344624,5.52,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
70,0.07,5.6,0.0,80.0,0.0,80.0,5.313776441244535,0.0,72.8234620955521,0.0,-65.13149264319429,0.2862235587554647,0.0,7.176537904447898,0.0,7.176537904447898,5.6,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
71,0.07100000000000001,5.68,0.0,80.0,0.0,80.0,5.386567337593765,0.0,72.75833060290891,0.0,-64.39391576932806,0.2934326624062349,0.0,7.241669397091087,0.0,7.241669397091087,5.68,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
72,0.07200000000000001,5.76,0.0,80.0,0.0,80.0,5.459293471238789,0.0,72.69393668713958,0.0,-63.665923589586896,0.30070652876121073,0.0,7.306063312860417,0.0,7.306063312860417,5.76,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
73,0.073,5.84,0.0,80.0,0.0,80.0,5.531955574964134,0.0,72.63027076355,0.0,-62.947299452804785,0.3080444250358658,0.0,7.369729236449999,0.0,7.369729236449999,5.84,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
74,0.074,5.92,0.0,80.0,0.0,80.0,5.604554372077957,0.0,72.5673234640972,0.0,-62.23782665422257,0.3154456279220428,0.0,7.4326765359028,0.0,7.4326765359028,5.92,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
75,0.075,6.0,0.0,80.0,0.0,80.0,5.677090576628728,0.0,72.50508563744297,0.0,-61.53728817397106,0.3229094233712724,0.0,7.494914362557026,0.0,7.494914362557026,6.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
76,0.076,6.08,0.0,80.0,0.0,80.0,5.749564893622084,0.0,72.44354834926901,0.0,-60.84546631485374,0.33043510637791584,0.0,7.556451650730992,0.0,7.556451650730992,6.08,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
77,0.077,6.16,0.0,80.0,0.0,80.0,5.821978019238196,0.0,72.38270288295415,0.0,-60.162142192283554,0.33802198076180456,0.0,7.617297117045851,0.0,7.617297117045851,6.16,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
78,0.078,6.24,0.0,80.0,0.0,80.0,5.894330641050053,0.0,72.32254074076187,0.0,-59.48709500710216,0.3456693589499471,0.0,7.677459259238134,0.0,7.677459259238134,6.24,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
